park_id,tier,reason,decay_km_override
1,regional,UK's largest theme park; UK-wide visitors with overnight stays,
2,local,Thrill park SW of London; SE England day-trippers,
3,regional,London-area park/zoo; SE England plus UK-wide and some tourists,
4,intercontinental,Disneyland Paris; global destination (user-assigned),
5,intercontinental,Walt Disney World; global destination park,
6,intercontinental,Most-visited park worldwide; global destination,
7,intercontinental,Walt Disney World; global destination park,
8,intercontinental,Walt Disney World; global destination park,
9,regional,"Paris-region flagship; Ile-de-France plus France, Benelux, UK",
10,regional,Ozarks destination; Midwest/South drive-market tourism,
11,local,Gothenburg; West Sweden with Norwegian/Danish neighbour markets,250.0
12,regional,Italy's biggest park on Lake Garda; Italy plus DE/AT/CH tourism,
14,regional,"Central Belgium; Belgium, N France, NL, Lux",
15,regional,Pennsylvania flagship; Mid-Atlantic and Northeast US,
16,continental,Original Disneyland; national and international destination [tier set by user],
17,continental,Disneyland Resort; national and international destination [tier set by user],
18,local,"North Jutland summer park; Danish families, some Norwegian/Swedish neighbours",250.0
19,continental,Costa Dorada resort; Catalonia/Spain plus large FR/UK/RU/EU tourist share,
20,regional,San Diego; Southern California residents plus US tourists,
21,intercontinental,Orlando tourism park; US-wide visitors plus international tourists [tier set by user],
22,local,San Antonio; S Texas families,
23,regional,Virginia; Mid-Atlantic and SE US drive market,
24,regional,Tampa coaster/zoo park; Florida plus SE US visitors,
25,regional,"N Germany; Hamburg/Hanover/Bremen plus Germany-wide, DK/NL",
27,regional,Windsor; London/SE plus UK-wide and international tourists,
28,intercontinental,Disneyland Paris studio park; global destination,
29,local,Sesame Place; local metro families (CSV coordinates were in Houston; corrected to Langhorne PA),
30,continental,Shanghai resort; China-wide plus limited Asian inbound [tier set by user],
31,continental,Hong Kong; mainland China and Asian visitors,
32,regional,LA-area coaster park; Southern California plus tourists,
33,local,Vallejo; Bay Area/Sacramento day-trippers,
34,local,DFW; Texas and neighbouring states,
35,local,Atlanta; Georgia and Southeast day-trippers,
36,local,St. Louis; Missouri/Illinois day-trippers,
37,regional,NJ; NYC/Philadelphia metro plus wider Northeast,
38,local,Gurnee; Chicagoland/Milwaukee day-trippers,
39,local,San Antonio; S Texas families,
40,local,Arlington water park; DFW families,
41,local,Valencia water park; Los Angeles-area families,
42,local,Maryland; Washington/Baltimore day-trippers,
43,local,Agawam MA; New England day-trippers,
44,local,NJ water park; Philadelphia/NYC metro,
45,local,Lake George; Albany/Adirondack region,
46,local,Atlanta water park; Georgia families,
47,regional,Mexico City; central Mexico plus wider Mexico,
48,local,Montreal island park; Montreal/Quebec plus NY-state border,
49,local,Hampshire; south England day-trippers,
50,regional,Coaster-destination flagship; draws Great Lakes/Midwest/Northeast US with overnight stays,
51,continental,Germany's top park with resort hotels; draws DE/FR/CH/NL/BE and wider Europe,
52,continental,Original Legoland/LEGO House; strong DK domestic but many DE/SE/NO/NL/UK visitors,
53,regional,Flevoland; NL plus Belgian/German visitors,
54,regional,"De Panne on Belgian coast; Flemish, N French and Dutch families",
55,regional,Smoky Mountains destination; eastern-US drive-market tourism,
56,regional,"Bruhl near Cologne; Germany, NL, Belgium",
57,local,Bay Area amusement park; mostly Northern California day-trippers,
58,regional,"Ontario's largest park; draws Ontario, Quebec and NE/Great Lakes US",
59,regional,Carolinas flagship draws NC/SC plus Southeast/Mid-Atlantic states,
60,regional,Cincinnati flagship; Ohio/Kentucky/Indiana plus wider Midwest,
61,regional,Orange County park; Southern California residents plus US tourists,
62,local,Richmond-area park; Virginia and Mid-Atlantic day-trippers,
63,local,Kansas City park; Missouri/Kansas day-trippers,
64,intercontinental,Universal Orlando destination park; global visitors,
65,intercontinental,Universal Orlando destination park; global visitors,
66,intercontinental,LA studio park; US-wide plus heavy international tourism [tier set by user],
67,intercontinental,"Orlando water park; US-wide/tourist visitors, somewhat less global than gates [tier set by user]",
68,local,Twin Cities park; Minnesota/Upper Midwest day-trippers,
69,local,Lehigh Valley park; Philadelphia/NJ/NY day-trippers,
70,local,Small Michigan park; west Michigan / Great Lakes day-trippers,
94,regional,Orlando water park; Florida residents plus tourists,
96,local,Williamsburg water park; Virginia/Mid-Atlantic families,
97,local,Tampa water park; Tampa Bay day-trippers and tourists,
123,regional,Zhuhai marine resort near HK/Macau; draws all of south China plus HK/Macau tourists,
125,regional,Korea's biggest park south of Seoul; Korea-wide plus inbound Asian tourists,
128,continental,"Hong Kong marine park; HK, mainland China and wider Asia tourists",
130,regional,Guangzhou flagship; Guangdong plus nationwide visitors,
139,local,Water park; Pearl River Delta residents (seasonal),
146,local,Gold Coast water park; Queensland/NSW visitors,
160,regional,"NL flagship; Dutch, Belgian, German visitors",
166,local,Central Stockholm amusement park; Stockholm-area visitors,
273,local,Seaside Lancashire; northern England day-trippers,
274,continental,"Tokyo; overwhelmingly Japan-wide, some Asian tourists [tier set by user]",
275,continental,"Tokyo; overwhelmingly Japan-wide, some Asian tourists [tier set by user]",
276,regional,"Belgium/N France border; Flanders, Wallonia, N France, some UK/NL",
277,continental,Themed land at PortAventura resort; Spain plus French visitors [tier set by user],
278,regional,"Gunzburg, S Germany; Bavaria/BW plus Austria/Switzerland catchment",
279,regional,Carlsbad; Southern California plus US/international tourists,
280,regional,Central Florida; Florida families plus US tourists,
281,regional,Between Buffalo and Rochester; W New York plus Ontario visitors,
282,local,Oklahoma City; Oklahoma day-trippers,
284,continental,Osaka; Japan-wide with growing Asian inbound tourism [tier set by user],
285,local,Nagoya; Chubu/Kansai/Kanto day-trip families,
286,regional,Baltic coast; N Germany plus Denmark/Scandinavia holiday-makers,
290,local,"Jutland summer park; Danish families, some German/Swedish neighbours",250.0
291,regional,Poitiers flagship; France-wide plus overnight stays from Benelux/UK,
292,local,Oaxtepec water park south of Mexico City; central Mexico families,
293,local,Concord water park; Bay Area families,
294,local,Oklahoma City water park (CSV coordinates wrongly in Georgia); Oklahoma families,
295,local,Phoenix water park; Phoenix metro families,
296,local,Spring TX water park; Houston metro families,
297,local,Rockford water park; N Illinois/Wisconsin families,
298,local,Madrid film park; Madrid metro plus central Spain,
299,local,Goshen NY; NYC metro/Hudson Valley day-trippers,
300,local,N Yorkshire; northern England day-trippers,
301,local,"Lyon/Grenoble area park; Rhone-Alpes, some Switzerland",
302,local,Rhineland-Palatinate; Rhine-Neckar/Frankfurt day-trippers,
303,local,Small Allier park; central France families,
304,local,Auvergne volcano park; Auvergne/central France families,
305,regional,"Sevenum, NL/DE/BE border; Dutch, German, Belgian visitors",
306,local,San Antonio water park; central Texas families,
309,continental,Europa-Park resort water park; hotel guests share Europa-Park catchment,
310,local,Ruhr area; NRW day-trippers,
311,local,"Kempen, Belgium; Flemish/Antwerp day-trippers",
312,local,Pittsburgh; W Pennsylvania day-trippers,
313,local,Connecticut; CT/Hartford region day-trippers,
314,local,Free-gate Pennsylvania park; local/central-PA day-trippers,
315,local,Chuncheon; Seoul metro/Gangwon families,
316,local,Small Peppa Pig park next to Legoland Florida; young-family Florida drive market,
317,regional,Poland's top park near Krakow; Poland plus Czech/Slovak/Ukraine neighbours,
318,local,Rome film-themed park; Lazio/central Italy visitors,
319,regional,Brazil's biggest park; southern Brazil plus Argentina/Uruguay/Paraguay tourists,
320,regional,Balloon at Disneyland Paris/Val d'Europe; Paris region plus Disneyland tourists (user-assigned),
321,local,Madrid city park; Madrid metro families,
322,local,"Burgenland border park; Vienna, Bratislava, Budapest catchment",250.0
323,local,Eastern NL family park; Dutch (and near-border German) day-trippers,
324,local,Iowa park; Des Moines/Iowa day-trippers,
327,local,Alsace park; Alsace/Lorraine plus Swiss/German border visitors,250.0
328,continental,Beijing resort; China-wide and some Asian visitors [tier set by user],
329,local,Everland water park; Seoul metro families (seasonal),
330,regional,Guangzhou safari park; Guangdong plus wider south China visitors,
331,local,Guangzhou bird park; Pearl River Delta day-trippers,
332,regional,Zhuhai indoor space-themed park next to Ocean Kingdom; same catchment,
333,regional,Seoul indoor/outdoor park; Korea-wide plus inbound Asian tourists,
334,intercontinental,"Universal Orlando's newest gate, global destination draw",
335,regional,Riyadh entertainment megaproject (opening 2026); Saudi Arabia plus Gulf states,
336,local,Champagne/Aube park; regional French day-trippers,
337,regional,Mt Fuji thrill park; Tokyo region plus Japan-wide and inbound tourists,
338,regional,Gold Coast marine park; Australia-wide and NZ/Asian tourists,
339,regional,New Braunfels destination water park; Texas plus drive-market tourism,
340,regional,"Genting Highlands / KL resort; Malaysia plus Singapore, Indonesia, ASEAN",
341,local,Gold Coast farm/show attraction; SE Queensland/NSW visitors,
342,regional,Gold Coast film park; Australia-wide plus NZ/Asian tourists,
